EFA;iShares MSCI EAFE ETF
EEM;iShares MSCI Emerging Markets ETF
IEMG;iShares Core MSCI Emerging Markets ETF
IEFA;iShares Core MSCI EAFE ETF
EMB;iShares J.P. Morgan USD Emerging Markets Bond ETF
IAU;iShares Gold Trust
EFAV;iShares Edge MSCI Min Vol EAFE ETF
SLV;iShares Silver Trust
SCZ;iShares MSCI EAFE Small-Cap ETF
ACWI;iShares MSCI ACWI ETF
EEMV;iShares Edge MSCI Min Vol Emerging Markets ETF
HEFA;iShares Currency Hedged MSCI EAFE ETF
ACWV;iShares Edge MSCI Min Vol Global ETF
IDV;iShares International Select Dividend ETF
EFV;iShares MSCI EAFE Value ETF
IXUS;iShares Core MSCI Total International Stock ETF
EFG;iShares MSCI EAFE Growth ETF
ACWX;iShares MSCI ACWI ex U.S. ETF
IXJ;iShares Global Healthcare ETF
IOO;iShares Global 100 ETF
IXC;iShares Global Energy ETF
IGF;iShares Global Infrastructure ETF
GSG;iShares S&P GSCI Commodity-Indexed Trust
IXN;iShares Global Tech ETF
XT;iShares Exponential Technologies ETF
IFGL;iShares International Developed Real Estate ETF
AOR;iShares Core Growth Allocation ETF
IGOV;iShares International Treasury Bond ETF
KXI;iShares Global Consumer Staples ETF
AOM;iShares Core Moderate Allocation ETF
LEMB;iShares Emerging Markets Local Currency Bond ETF
AOA;iShares Core Aggressive Allocation ETF
FM;iShares MSCI Frontier 100 ETF
IXP;iShares Global Telecom ETF
RING;iShares MSCI Global Gold Miners ETF
IAGG;iShares Core International Aggregate Bond ETF
COMT;iShares Commodities Select Strategy ETF
AOK;iShares Core Conservative Allocation ETF
URTH;iShares MSCI World ETF
DVYE;iShares Emerging Markets Dividend ETF
TOK;iShares MSCI Kokusai ETF
RXI;iShares Global Consumer Discretionary ETF
IYLD;iShares Morningstar Multi-Asset Income ETF
CRBN;iShares MSCI ACWI Low Carbon Target ETF
MXI;iShares Global Materials ETF
PICK;iShares MSCI Global Metals & Mining Producers ETF
IXG;iShares Global Financials ETF
HEEM;iShares Currency Hedged MSCI Emerging Markets ETF
REET;iShares Global REIT ETF
WOOD;iShares Global Timber & Forestry ETF
EXI;iShares Global Industrials ETF
BKF;iShares MSCI BRIC ETF
HYXU;iShares International High Yield Bond ETF
JXI;iShares Global Utilities ETF
WPS;iShares International Developed Property ETF
EEMS;iShares MSCI Emerging Markets Small-Cap ETF
INTF;iShares Edge MSCI Multifactor Intl ETF
SLVP;iShares MSCI Global Silver Miners ETF
GHYG;iShares Global High Yield Corporate Bond ETF
ISHG;iShares 1-3 Year International Treasury Bond ETF
IPFF;iShares International Preferred Stock ETF
ICLN;iShares Global Clean Energy ETF
EMHY;iShares Emerging Markets High Yield Bond ETF
EMIF;iShares Emerging Markets Infrastructure ETF
IVLU;iShares Edge MSCI Intl Value Factor ETF
FILL;iShares MSCI Global Energy Producers ETF
EMGF;iShares Edge MSCI Multifactor Emerging Markets ETF
CEMB;iShares Emerging Markets Corporate Bond ETF
VEGI;iShares MSCI Global Agriculture Producers ETF
ITIP;iShares International Inflation-Linked Bond ETF
IEIS;iShares Enhanced International Small-Cap ETF
IEIL;iShares Enhanced International Large-Cap ETF
IMTM;iShares Edge MSCI Intl Momentum Factor ETF
GTIP;iShares Global Inflation-Linked Bond ETF
IQLT;iShares Edge MSCI Intl Quality Factor ETF
MPCT;iShares MSCI Global Impact ETF
CMDT;iShares Commodity Optimized Trust
HEFV;iShares Edge MSCI Min Vol EAFE Currency Hedged ETF
HSCZ;iShares Currency Hedged MSCI EAFE Small-Cap ETF
HEMV;iShares Edge MSCI Min Vol EM Currency Hedged ETF
ESGE;iShares MSCI EM ESG Optimized ETF
ESGD;iShares MSCI EAFE ESG Optimized ETF
ISCF;iShares Edge MSCI Multifactor Intl Small-Cap ETF
IGRO;iShares International Dividend Growth ETF
ISZE;iShares Edge MSCI Intl Size Factor ETF
ACWF;iShares Edge MSCI Multifactor Global ETF
EMHZ;iShares MSCI Emerging Markets Horizon ETF
HACV;iShares Edge MSCI Min Vol Global Currency Hedged ETF
HHYX;iShares Currency Hedged International High Yield Bond ETF
EMBH;iShares Interest Rate Hedged Emerging Markets Bond ETF
DEFA;iShares Adaptive Currency Hedged MSCI EAFE ETF
HAWX;iShares Currency Hedged MSCI ACWI ex U.S. ETF
HACW;iShares Currency Hedged MSCI ACWI ETF
