EWJ;iShares MSCI Japan
INDA;iShares MSCI India
EWZ;iShares MSCI Brazil Capped
FXI;iShares China Large-Cap
EWG;iShares MSCI Germany
EWY;iShares MSCI South Korea Capped
EWC;iShares MSCI Canada
EWT;iShares MSCI Taiwan
MCHI;iShares MSCI China
EWU;iShares MSCI United Kingdom
EWA;iShares MSCI Australia
EWH;iShares MSCI Hong Kong
EWW;iShares MSCI Mexico Capped
EWL;iShares MSCI Switzerland Capped
INDY;iShares India 50
EIDO;iShares MSCI Indonesia
EWP;iShares MSCI Spain Capped
EWS;iShares MSCI Singapore
HEWJ;iShares Currency Hedged MSCI Japan
HEWG;iShares Currency Hedged MSCI Germany
EWI;iShares MSCI Italy Capped
THD;iShares MSCI Thailand Capped
EZA;iShares MSCI South Africa
TUR;iShares MSCI Turkey
ECH;iShares MSCI Chile Capped
EPHE;iShares MSCI Philippines
EWQ;iShares MSCI France
EWM;iShares MSCI Malaysia
ERUS;iShares MSCI Russia Capped
EWD;iShares MSCI Sweden
EPU;iShares MSCI All Peru Capped
EWN;iShares MSCI Netherlands
EPOL;iShares MSCI Poland Capped
ENZL;iShares MSCI New Zealand Capped
SCJ;iShares MSCI Japan Small-Cap
EWK;iShares MSCI Belgium Capped
EIRL;iShares MSCI Ireland Capped
JPXN;iShares JPX-Nikkei 400
EIS;iShares MSCI Israel Capped
HEWU;iShares Currency Hedged MSCI United Kingdom
SMIN;iShares MSCI India Small-Cap
EWO;iShares MSCI Austria Capped
QAT;iShares MSCI Qatar Capped
EWZS;iShares MSCI Brazil Small-Cap
EDEN;iShares MSCI Denmark Capped
JPMV;iShares Edge MSCI Min Vol Japan
UAE;iShares MSCI UAE Capped
EFNL;iShares MSCI Finland Capped
ENOR;iShares MSCI Norway Capped
EWUS;iShares MSCI United Kingdom Small-Cap
EWGS;iShares MSCI Germany Small-Cap
ECNS;iShares MSCI China Small-Cap
ICOL;iShares MSCI Colombia Capped
HEWP;iShares Currency Hedged MSCI Spain
HEWY;iShares Currency Hedged MSCI South Korea
HEWC;iShares Currency Hedged MSCI Canada
HAUD;iShares Currency Hedged MSCI Australia
CNYA;iShares MSCI China A
HEWI;iShares Currency Hedged MSCI Italy
HEWL;iShares Currency Hedged MSCI Switzerland
KSA;iShares MSCI Saudi Arabia Capped
DEWJ;iShares Adaptive Currency Hedged MSCI Japan
HJPX;iShares Currency Hedged JPX-Nikkei 400
HEWW;iShares Currency Hedged MSCI Mexico
